freq(Hz) real imag
-1248372.3958333 102.416 -45.075
-1246744.7916667 105.324 -39.197
-1245117.1875000 95.693 -43.240
-1243489.5833333 109.257 -47.829
-1241861.9791667 103.644 -32.080
-1240234.3750000 96.223 -43.817
-1238606.7708333 104.983 -39.727
-1236979.1666667 96.478 -38.450
-1235351.5625000 98.112 -41.785
-1233723.9583333 94.213 -45.445
-1232096.3541667 105.793 -49.926
-1230468.7500000 104.216 -36.366
-1228841.1458333 96.847 -42.360
-1227213.5416667 99.245 -42.060
-1225585.9375000 98.394 -48.036
-1223958.3333333 108.343 -41.428
-1222330.7291667 94.790 -36.797
-1220703.1250000 100.189 -47.819
-1219075.5208333 100.060 -36.895
-1217447.9166667 92.852 -46.598
-1215820.3125000 102.116 -44.889
-1214192.7083333 94.701 -43.946
-1212565.1041667 100.625 -49.712
-1210937.5000000 101.489 -44.202
-1209309.8958333 100.540 -44.446
-1207682.2916667 96.721 -43.946
-1206054.6875000 100.654 -51.220
-1204427.0833333 105.452 -41.781
-1202799.4791667 96.566 -43.275
-1201171.8750000 101.053 -44.139
-1199544.2708333 92.994 -43.617
-1197916.6666667 99.533 -53.658
-1196289.0625000 104.242 -43.835
-1194661.4583333 97.431 -44.278
-1193033.8541667 96.448 -45.965
-1191406.2500000 97.096 -52.648
-1189778.6458333 105.768 -47.660
-1188151.0416667 96.626 -44.669
-1186523.4375000 102.227 -51.061
-1184895.8333333 98.868 -42.165
-1183268.2291667 94.954 -54.884
-1181640.6250000 109.410 -50.492
-1180013.0208333 100.777 -41.358
-1178385.4166667 96.737 -47.892
-1176757.8125000 99.341 -52.866
-1175130.2083333 109.620 -50.439
-1173502.6041667 103.313 -37.221
-1171875.0000000 93.688 -46.794
-1170247.3958333 102.251 -49.328
-1168619.7916667 100.975 -44.760
-1166992.1875000 99.392 -43.911
-1165364.5833333 95.043 -45.669
-1163736.9791667 98.892 -48.913
-1162109.3750000 96.502 -43.851
-1160481.7708333 92.856 -50.954
-1158854.1666667 100.507 -51.379
-1157226.5625000 98.608 -44.798
-1155598.9583333 91.404 -46.597
-1153971.3541667 92.432 -54.724
-1152343.7500000 97.983 -52.697
-1150716.1458333 94.518 -53.198
-1149088.5416667 99.658 -54.467
-1147460.9375000 94.956 -50.517
-1145833.3333333 97.071 -58.732
